Date (date),Country Name (country_name),ISO Alpha 3 Code (alpha_3_code),Country Code (country_code),Region Name (region_name),Region Code (region_code),Sub-Region Name (subregion_name),Sub Region Code (subregion_code),Harmonized System Code (hs_code),Commodity Name (commodity),Quantity unit (unit),Commodity quantity (value_qt),Quantity value (INR) (value_rs),Quantity value (USD) (value_dl)
"2017-01-01","Myanmar","MMR","104","Asia","142","South-eastern Asia","35","84212120","Household Type Filters","Nos",0.2,2.52,0
"2017-03-01","Oman","OMN","512","Asia","142","Western Asia","145","33029090","Other Mixtrs Of Odorifrs Substns N.E.S.","Kgs",5.61,83.06,0.13
"2021-07-01","China","CHN","156","Asia","142","Eastern Asia","30","29332990","Other Compnds Cntng An Unfused Imidazole Ring (W/N Hydrgntd ) In Structure","Kgs",10.57,359.9,0.48
"2017-12-01","Singapore","SGP","702","Asia","142","South-eastern Asia","35","33019013","Pepper Oleoresins","Kgs",0.35,18.34,0.03
"2024-11-01","Israel","ISR","376","Asia","142","Western Asia","145","42022110","Handbags Of Leather For Ladies","Nos",3222,0.92,0.11
"2025-04-01","China","CHN","156","Asia","142","Eastern Asia","30","30049099","Other Medcne Put Up For Retail Sale N.E.S","Kgs",55789,29.99,3.51
"2020-07-01","Oman","OMN","512","Asia","142","Western Asia","145","19011010","Malted Milk (Including Powder)","Kgs",0.01,0.08,0
"2020-12-01","Qatar","QAT","634","Asia","142","Western Asia","145","84678990","Others","Nos",0,0.74,0
"2015-05-01","Pakistan","PAK","586","Asia","142","Southern Asia","34","29209099","*Other Esters Of Other Inorganic Acids Of Non-Metls And Their Salts","Kgs",0.21,0.93,0
"2015-06-01","Bahrain","BHR","48","Asia","142","Western Asia","145","85013410","D.C.Motrs And Dc Genrtrs Of An Output Exceeding 375 Kw But Nt Excdng 1000Kw","Nos",0,0.22,0
"2024-08-01","Singapore","SGP","702","Asia","142","South-eastern Asia","35","73130010","Barbed Iron Or Steel Wire","Kgs",1550,0.03,0
"2016-07-01","Turkiye","TUR","792","Asia","142","Western Asia","145","48025790","Other Paper","Kgs",301.35,169.2,0.25
"2019-02-01","Myanmar","MMR","104","Asia","142","South-eastern Asia","35","40103999","Trnsmsn Blt/Bltng Other Than Flat Blt/Ply Blt Where Ruby Compd More Than 25% By Wt.","Kgs",0.16,1.2,0
"2025-10-01","Türkiye","TUR","792","Asia","142","Western Asia","145","84715000","Digitl Procesng Units Excl Of Sub Hdngs 847141 And 847149,Wh/Not Cont One/Two Typs Of Uni,Like Storg/Input/Output Uni","Nos",1,0.03,0
"2021-01-01","Iraq","IRQ","368","Asia","142","Western Asia","145","84839000","Parts Of The Items Of Hdg 8483","Kgs",1.48,1.25,0
"2017-04-01","Bahrain","BHR","48","Asia","142","Western Asia","145","84137010","Others Centrifugal Pumps Primarily Designed To Handle Water","Nos",0.01,39.23,0.06
"2018-02-01","Iraq","IRQ","368","Asia","142","Western Asia","145","73269099","All Other Articles Of Iron/Steel Nes Other Steering Or Rudder Equipment For Ships And Boats, N.E.S.","Kgs",1.36,4.27,0.01
"2016-05-01","Israel","ISR","376","Asia","142","Western Asia","145","84314390","Prts Of Borng/Snkng Mchnry,Not Slf-Prpld","Kgs",1,4.55,0.01
"2017-12-01","Saudi Arabia","SAU","682","Asia","142","Western Asia","145","84311090","Others","Kgs",6.89,26.69,0.04
"2015-01-01","Sri Lanka","LKA","144","Asia","142","Southern Asia","34","64035111","Ankle Cvrd All Lthr Shoes For Men","Prs",6.59,97.66,0.16
"2020-11-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","29157090","Other Palmitic Acid, Stearic Acid And Their Salts And Estrs","Kgs",20.06,30.61,0.04
"2020-04-01","Sri Lanka","LKA","144","Asia","142","Southern Asia","34","38059090","Other (Crude Dipentine Etc) Nes","Kgs",1.23,2.46,0
"2019-07-01","Qatar","QAT","634","Asia","142","Western Asia","145","64041190","Others","Prs",1.51,30.89,0.04
"2019-08-01","Japan","JPN","392","Asia","142","Eastern Asia","30","40103390","Endless Trnsmsn Blt/Bltng Of V-Blt/V- Ribbdof Circum Betwn 60 Cm And 180 Cm Where Ruby Compd More Than 25% By Wt.","Kgs",1.25,18.36,0.03
"2025-02-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","17011410","Cane Jaggery","Kgs",200688,1.57,0.18
"2025-07-01","Nepal","NPL","524","Asia","142","Southern Asia","34","73071900","Other Cast Fittings","Kgs",23020,0.31,0.04
"2015-09-01","Brunei Darussalam","BRN","96","Asia","142","South-eastern Asia","35","6029090","Other Live Plants","Kgs",0.01,0.1,0
"2019-09-01","Myanmar","MMR","104","Asia","142","South-eastern Asia","35","62142010","Shawls Of Wool","Nos",1.05,0.92,0
"2016-06-01","Viet Nam","VNM","704","Asia","142","South-eastern Asia","35","39249090","Othr Houshold Andtoilt Artcls Of Plstcs Nes","Kgs",0,0.01,""
"2021-05-01","Saudi Arabia","SAU","682","Asia","142","Western Asia","145","44119211","Hard Board","Kgs",19.2,7.27,0.01
"2016-11-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","96063090","Prts Of Button","Kgs",1.63,5.87,0.01
"2019-08-01","Syrian Arab Republic","SYR","760","Asia","142","Western Asia","145","52051490","Others","Kgs",4.19,9.33,0.01
"2016-09-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","69029040","Clay Graphite Stopper Heads","Ton",0.01,0.76,0
"2017-09-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","40129090","Other Tyre Flaps","Kgs",0.2,0.28,0
"2025-08-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","69039010","Zircon/Zircon-Mullite Refractories","Ton",9,0.17,0.02
"2019-07-01","Sri Lanka","LKA","144","Asia","142","Southern Asia","34","76090000","Aluminium Tube Or Pipe Fittings (For Example Couplings,Elbows,Sleeves)","Kgs",0.06,0.53,0
"2019-12-01","China","CHN","156","Asia","142","Eastern Asia","30","29157040","Hco Fatty Acid(Incl 12-Hydroxy Stearc Acd)","Kgs",663,743.23,1.04
"2016-09-01","China","CHN","156","Asia","142","Eastern Asia","30","3061790","Other Shrimps And Prawns","Kgs",300.93,1298.98,1.95
"2015-12-01","Islamic Republic of Iran","IRN","364","Asia","142","Southern Asia","34","90292020","Speedometers,Non-Electrical(Excl Air/Sea)","Nos",0.17,0.06,""
"2016-07-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","8045020","*Mangoes Fresh","Kgs",96,23.8,0.04
"2017-05-01","Saudi Arabia","SAU","682","Asia","142","Western Asia","145","33029019","Other Mxtr Of Aromatic Chemicals Andessn Oil","Kgs",1.65,31.12,0.05
"2019-10-01","Saudi Arabia","SAU","682","Asia","142","Western Asia","145","69099000","Ceremic Troughs,Tubs;Pots Jars And The Like","Kgs",0.2,0.72,0
"2021-11-01","Nepal","NPL","524","Asia","142","Southern Asia","34","87038020","Specialised Transport Vehicles Such As Ambulances, Prison Vans And The Like","Nos",0,47.52,0.06
"2019-07-01","Republic of Korea","KOR","410","Asia","142","Eastern Asia","30","90258090","Other Similar Floating Instruments","Nos",0.01,1.51,0
"2019-08-01","China","CHN","156","Asia","142","Eastern Asia","30","72029200","Ferro-Vanadium","Kgs",52,848.41,1.19
"2018-10-01","Nepal","NPL","524","Asia","142","Southern Asia","34","90262000","Instrmnts And Aprts Fr Msrng/Chkng Pressure","Nos",0.59,1.46,0
"2016-09-01","Nepal","NPL","524","Asia","142","Southern Asia","34","82077010","Milling Cutters","Kgs",0.55,5.04,0.01
"2017-10-01","Thailand","THA","764","Asia","142","South-eastern Asia","35","39072090","*Other Polyethers Nes","Kgs",0,0.02,""
"2016-08-01","Japan","JPN","392","Asia","142","Eastern Asia","30","85446090","Othr Elctrc Cndctrs Fr A Vltg Excdg 1000 V Excl Papr Plsctic And Rubber Insulated","Mtr",0.04,0.18,0
"2024-10-01","Sri Lanka","LKA","144","Asia","142","Southern Asia","34","34029051","Washing And Cleaning Preparations Having Basis Of Soap/Other Organic Surface Active(Washing Preparations)","Kgs",970,0.01,0
"2018-05-01","Turkiye","TUR","792","Asia","142","Western Asia","145","64039910","Leather Sandals With Rubber Sole","Prs",0.61,4.78,0.01
"2015-04-01","Taiwan, Province of China","TWN","158","Asia","142","Eastern Asia","30","28211010","Iron Oxides","Kgs",0.3,1.08,0
"2018-03-01","Nepal","NPL","524","Asia","142","Southern Asia","34","52081990","Others Cotn Fabrics Contng >=85% By Wt Of Cotn","Sqm",115.11,73.03,0.11
"2016-07-01","Singapore","SGP","702","Asia","142","South-eastern Asia","35","40131020","Inner Tubes For Track And Bus","Nos",5.62,13.02,0.02
"2018-05-01","Islamic Republic of Iran","IRN","364","Asia","142","Southern Asia","34","32041620","Reactive Oranges","Kgs",7.2,26.95,0.04
"2018-12-01","Cambodia","KHM","116","Asia","142","South-eastern Asia","35","60012900","Looped Pile Fabrics Of Othr Txtl Materials","Kgs",3.28,13.7,0.02
"2016-04-01","Indonesia","IDN","360","Asia","142","South-eastern Asia","35","52103110","Shirting Fabrics","Sqm",42.28,30.35,0.05
"2018-07-01","Nepal","NPL","524","Asia","142","Southern Asia","34","51071020","Worsted Knitting Yarn","Kgs",0.32,5.2,0.01
"2024-10-01","Bhutan","BTN","64","Asia","142","Southern Asia","34","73219000","Parts For Appliances Of Iron Or Steel Of Hdg.No.7321","Kgs",81,0.03,0
"2021-12-01","Thailand","THA","764","Asia","142","South-eastern Asia","35","87019100","Other Tractors, Of An Engine Powernot Exceeding 18 Kw","Nos",0.09,360.98,0.48
"2015-06-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","82029120","Hack Saw Blades,Hand Operated","Kgs",0.04,0.02,""
"2016-09-01","Afghanistan","AFG","4","Asia","142","Southern Asia","34","55151140","Fbrc Of Polstr,Mxd Wth Viscos Ryon,Printd","Sqm",1605.2,1433.27,2.15
"2018-06-01","Cambodia","KHM","116","Asia","142","South-eastern Asia","35","30041030","Amoxycyllin In Capsules, Injections Etc.","Kgs",16.63,75.82,0.11
"2024-04-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","55096100","Othr Yrn Of Acrylc/Modacrylc Staple Fibresmxd Mainly/Solely Wth Wool/Fine Anml Hair","Kgs",12309,0.95,0.11
"2021-06-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","44191900","Other","Kgs",18.86,31.71,0.04
"2016-08-01","Singapore","SGP","702","Asia","142","South-eastern Asia","35","32041212","Acid Oranges(Azo)","Kgs",0.95,1.93,0
"2020-08-01","Republic of Korea","KOR","410","Asia","142","Eastern Asia","30","85219090","Othr Video Recrdng/Reprdcng Apprts","Nos",0,0.51,0
"2018-12-01","Malaysia","MYS","458","Asia","142","South-eastern Asia","35","63049239","Other Pillow Cases And Pillow Slips","Nos",2.14,1.9,0
"2017-03-01","Myanmar","MMR","104","Asia","142","South-eastern Asia","35","36061000","Lqd/Lqfd-Gas Fuels Usd For Fllng/Refllng Cigarette/Smlr Lightrs And Nt Excdng 300 Cm3","Kgs",1.04,1.78,0
"2020-10-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","28261200","Fluorides Of Aluminium","Kgs",260,248.43,0.34
"2021-09-01","Bhutan","BTN","64","Asia","142","Southern Asia","34","84719000","Other","Nos",0.07,0.63,0
"2017-08-01","Myanmar","MMR","104","Asia","142","South-eastern Asia","35","85182200","Multiple Loud Speakers; Mounted In The Same Enclosure","Nos",0.2,48.15,0.08
"2024-06-01","Viet Nam","VNM","704","Asia","142","South-eastern Asia","35","72230010","Electrode Quality Wire Of Stainless Steel","Kgs",7600,0.15,0.02
"2021-07-01","Mongolia","MNG","496","Asia","142","Eastern Asia","30","30061010","Sterile Surgcl Catgut,Smlr Mtrls And Strle Tissue Adhsvs For Surgical Wound Closure","Kgs",0.02,1.59,0
"2024-05-01","Bhutan","BTN","64","Asia","142","Southern Asia","34","49011010","Printed Books","Nos",12158,0.37,0.04
"2016-11-01","Oman","OMN","512","Asia","142","Western Asia","145","38220019","*Other For Medical Diagnosis","Kgs",0.09,4.99,0.01
"2015-09-01","Maldives","MDV","462","Asia","142","Southern Asia","34","30042013","Ciprofloxacine- In Capsul,Tblts Form Etc","Kgs",0.12,1.93,0
"2016-02-01","Pakistan","PAK","586","Asia","142","Southern Asia","34","83022000","Castors","Kgs",3.1,12.76,0.02
"2017-12-01","China","CHN","156","Asia","142","Eastern Asia","30","39011010","Linear L0W Density P0Lyethylene (Lldpe)","Kgs",17156,11796.9,18.36
"2019-02-01","Nepal","NPL","524","Asia","142","Southern Asia","34","76071999","Alumnm Foil Not Rolled And Not Bckd N.E.S.","Kgs",0.71,2.22,0
"2024-05-01","Malaysia","MYS","458","Asia","142","South-eastern Asia","35","25084090","Other Clays, Nes","Kgs",3231320,2.51,0.3
"2019-04-01","Singapore","SGP","702","Asia","142","South-eastern Asia","35","73041910","Iron Pipes For Oil/Gas Pipelines","Kgs",0.35,3.35,0
"2019-04-01","Yemen","YEM","887","Asia","142","Western Asia","145","29333911","Amino Pyridine","Kgs",1,13.41,0.02
"2018-01-01","Bahrain","BHR","48","Asia","142","Western Asia","145","82054000","Screwdrivers","Kgs",0.63,0.28,0
"2018-09-01","Syrian Arab Republic","SYR","760","Asia","142","Western Asia","145","27101990","Other Petroleum Oils And Oils Obtaine Frombituminous Minerals Nes","Kgs",0.05,31.66,0.04
"2021-05-01","Qatar","QAT","634","Asia","142","Western Asia","145","9101190","Other Ginger; Neither Crushed Nor Ground","Kgs",0.32,1.86,0
"2020-09-01","Viet Nam","VNM","704","Asia","142","South-eastern Asia","35","70111020","Glass Envelops For Filament Lamps","Kgs",15,13.48,0.02
"2018-03-01","Philippines","PHL","608","Asia","142","South-eastern Asia","35","84138190","Others","Nos",0,17.13,0.03
"2024-05-01","Sri Lanka","LKA","144","Asia","142","Southern Asia","34","85369020","Mtr Cntrol Gear And Mtr Strtrs Fr D.C. Mtrs Either Running At Cnstnt Speed/ Speed Cntrl Fr A Vltg Nt Excdg 100","Nos",100,0,0
"2016-03-01","Singapore","SGP","702","Asia","142","South-eastern Asia","35","28191000","Chromium Trioxide","Kgs",20,32.33,0.05
"2018-10-01","Israel","ISR","376","Asia","142","Western Asia","145","9011141","Coffee Rob Cherry Ab","Kgs",38.2,48.52,0.07
"2024-04-01","Oman","OMN","512","Asia","142","Western Asia","145","30045010","Heamatinics And Erythropoietin","Kgs",6,0,0
"2021-09-01","Bahrain","BHR","48","Asia","142","Western Asia","145","62044390","Othr Dresses Of Synth Fibres","Nos",2.48,25.12,0.03
"2016-12-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","72288090","Other Hollow Drill Bars And Rods","Kgs",0.8,1.97,0
"2018-01-01","Japan","JPN","392","Asia","142","Eastern Asia","30","94019000","*Other Seats Of Heading 9401","Kgs",30.74,156.75,0.25
"2020-12-01","Taiwan, Province of China","TWN","158","Asia","142","Eastern Asia","30","71031090","Other","Kgs",0.01,1.11,0
"2015-03-01","Republic of Korea","KOR","410","Asia","142","Eastern Asia","30","42022220","Hand Bags/Shopping Bags Of Cotton","Nos",50.32,32.27,0.05
"2016-06-01","Japan","JPN","392","Asia","142","Eastern Asia","30","62041100","Suits Of Wool Or Fine Animal Hair","Nos",0.02,0.55,0
"2021-10-01","Nepal","NPL","524","Asia","142","Southern Asia","34","84135010","Metering And Dosing Pumps","Nos",0.01,1.62,0
"2019-09-01","Turkiye","TUR","792","Asia","142","Western Asia","145","70181020","Beads Imtn Prls Imtn Prcs And Semi Prcs Stns","Kgs",4.09,18.26,0.03
"2021-01-01","China","CHN","156","Asia","142","Eastern Asia","30","52091290","Others","Sqm",113.6,36.66,0.05
"2018-08-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","34029019","Other (Synthetic Detergents)","Kgs",16.81,19.23,0.03
"2019-06-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","29161100","Acrylic Acid And Its Salts","Kgs",16,16.28,0.02
"2025-10-01","Myanmar","MMR","104","Asia","142","South-eastern Asia","35","83062120","Trophies Plated Wth Precious Metal","Kgs",20,0.01,0
"2025-10-01","Saudi Arabia","SAU","682","Asia","142","Western Asia","145","73084000","Props And Smlr Equipment For Scaffolding, Shuttering Or Pit-Propping","Nos",3663601,43.5,4.92
"2021-09-01","Bahrain","BHR","48","Asia","142","Western Asia","145","8072000","Papaws (Papayas) Fresh","Kgs",12.71,8.34,0.01
"2018-05-01","Viet Nam","VNM","704","Asia","142","South-eastern Asia","35","90189023","Srgcl Frcps,Frcp Clmps,Clips,Ndle Holders,Introducers,Cephalotribe Bone Holding And Other Holding Instrument","Nos",0.01,0.28,0
"2021-01-01","Hong Kong","HKG","344","Asia","142","Eastern Asia","30","90105000","Othr Aprts And Eqpmnt Fr Photogrphc(Incl Cinematogrphc)Lbrtrs,Negatoscopes","Nos",0,3.27,0
"2019-02-01","Saudi Arabia","SAU","682","Asia","142","Western Asia","145","64019990","Other Ftwr Covrng Knee","Prs",6,25.49,0.04
"2025-04-01","Nepal","NPL","524","Asia","142","Southern Asia","34","40114090","Tyres Uses Other Than Motorcycles/ Scooters","Nos",6979,0.77,0.09
"2019-03-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","84825022","Thrust Roller Bearings>50 Mm Or 2 Inches Bore Diameter But <=100Mm Or 4 Inches Bore Diameter","Nos",0.2,0.36,0
"2025-06-01","Sri Lanka","LKA","144","Asia","142","Southern Asia","34","34039100","Othr Prpns Fr The Trtmnt Of Txtle Matrls Leather Furskins Or Other Matrls","Kgs",170,0,0
"2019-06-01","Iraq","IRQ","368","Asia","142","Western Asia","145","21023000","Prepared Baking Powders","Kgs",3,1.78,0
"2017-06-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","87169090","Prts And Acsrs Of Othr Vhcl Nt Mchncly Prpld","Kgs",2.67,7.7,0.01
"2025-03-01","Nepal","NPL","524","Asia","142","Southern Asia","34","90249000","Parts And Accessories Of Mchns Ofhdg 9024","Kgs",580,0.1,0.01
"2015-02-01","Indonesia","IDN","360","Asia","142","South-eastern Asia","35","25309030","Calcite","Kgs",48,3.57,0.01
"2018-01-01","Japan","JPN","392","Asia","142","Eastern Asia","30","84211910","Bowl Centrifuges","Nos",0,4.86,0.01
"2018-06-01","Singapore","SGP","702","Asia","142","South-eastern Asia","35","84112100","Turbo-Prplrs Of A Power<=1100 Kw","Nos",0,38.99,0.06
"2019-04-01","Qatar","QAT","634","Asia","142","Western Asia","145","65010010","Hat Forms,Plateaux,Manchons Etc Of Cotton","Kgs",0.14,0.83,0
"2019-10-01","Nepal","NPL","524","Asia","142","Southern Asia","34","30042070","Cefadroxil","Kgs",0.55,15.7,0.02
"2017-12-01","Saudi Arabia","SAU","682","Asia","142","Western Asia","145","73071900","Other Cast Fittings","Kgs",11.43,26.99,0.04
"2024-11-01","Yemen","YEM","887","Asia","142","Western Asia","145","40170090","Others","Kgs",25,0,0
"2017-01-01","Sri Lanka","LKA","144","Asia","142","Southern Asia","34","29335990","Other Cmpnds Cntng A Pyrimidine Ring (W/N Hydrgntd) Or Piperazine Ring In Structure","Kgs",0.01,0.35,0
"2020-02-01","Qatar","QAT","634","Asia","142","Western Asia","145","40103190","Endles Trnsmsn Blt/Bltng Of V-Blt/V- Ribbedof Circumfrns Betwn 180 Cm And 240 Cm Where Rubr Compd More Than 25% By","Kgs",0,0.01,""
"2018-06-01","Bahrain","BHR","48","Asia","142","Western Asia","145","69022010","Silica Bricks And Shapes","Ton",0.03,8.09,0.01
"2025-04-01","Afghanistan","AFG","4","Asia","142","Southern Asia","34","44119211","Hard Board","Kgs",3,0,0
"2020-11-01","Sri Lanka","LKA","144","Asia","142","Southern Asia","34","72173020","Wire, Thinner Than 18 Swg Upto 26 Swg","Kgs",38,27.92,0.04
"2018-12-01","Japan","JPN","392","Asia","142","Eastern Asia","30","85446010","Papr Insltd Cndctrs Fr Vltge >1000 V","Mtr",1.15,8.12,0.01
"2019-01-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","73082019","T0Wers F0R 0Ther Purp0Ses W/N Assembled","Kgs",0.19,283.22,0.4
"2019-08-01","Taiwan, Province of China","TWN","158","Asia","142","Eastern Asia","30","90262000","Instrmnts And Aprts Fr Msrng/Chkng Pressure","Nos",3.4,21.51,0.03
"2020-10-01","Japan","JPN","392","Asia","142","Eastern Asia","30","94059900","Othr Parts Of Lamps And Lighing Fittings","Kgs",0.48,7.15,0.01
"2024-07-01","Bahrain","BHR","48","Asia","142","Western Asia","145","83030000","Armord/Reinfrcd Safes Strong Boxs And Doors And Safe Dpost Lckrs Fr Strng Rooms Csh/ Deedboxs Etc Of Base Metal","Kgs",300,0.01,0
"2019-05-01","Thailand","THA","764","Asia","142","South-eastern Asia","35","28331990","Other Sodium Sulphates","Kgs",0.17,0.35,0
"2018-05-01","China","CHN","156","Asia","142","Eastern Asia","30","48211010","Paper Tag","Kgs",0.25,2.13,0
"2015-08-01","Qatar","QAT","634","Asia","142","Western Asia","145","73101090","Others","Kgs",0.8,0.31,0
"2025-02-01","Turkiye","TUR","792","Asia","142","Western Asia","145","87089400","Sterng Wheels,Sterng Columns And Sterng Boxs","Kgs",315943,42.35,4.86
"2021-12-01","Philippines","PHL","608","Asia","142","South-eastern Asia","35","72023000","Ferro-Silico-Manganese","Kgs",1650,1629.29,2.16
"2015-04-01","Sri Lanka","LKA","144","Asia","142","Southern Asia","34","73144290","Others","Kgs",0.16,0.12,0
"2019-09-01","Hong Kong","HKG","344","Asia","142","Eastern Asia","30","41120000","Leather Further Prepard After Taning/Crust Leather Of Sheep/Lamb Without Wool W.O.N. Split","Kgs",22.9,616,0.86
"2025-06-01","Japan","JPN","392","Asia","142","Eastern Asia","30","61032200","Ensembles Of Cotton","Nos",1,0,0
"2016-02-01","Nepal","NPL","524","Asia","142","Southern Asia","34","32041967","Sulphur Blacks","Kgs",10,14.4,0.02
"2016-12-01","China","CHN","156","Asia","142","Eastern Asia","30","39046100","Polytetrafluoroethylene","Kgs",87.05,538.26,0.79
"2020-12-01","Singapore","SGP","702","Asia","142","South-eastern Asia","35","85402000","Tv Camera Tubes Image Cnvrtrs And Intensfirs;Othr Photo-Cathode Tubes","Nos",0,0.19,0
"2018-04-01","Nepal","NPL","524","Asia","142","Southern Asia","34","72085220","Unvrsl Plates Of Flat-Rold Prdcts,Nt In Coils Thckns>=4.75Mm But <=10Mm Not Furthr Wrkd Thn Hot Rold Pickled","Kgs",310,125.94,0.19
"2017-11-01","Turkiye","TUR","792","Asia","142","Western Asia","145","30049079","Other Antihypertensive Drugs","Kgs",0.3,4.42,0.01
"2016-09-01","Sri Lanka","LKA","144","Asia","142","Southern Asia","34","84439100","Parts And Accessories Of Printing Machinery Used For Printing By Means Of Plates, Cylinders And Other Printing","Kgs",0.31,10.65,0.02
"2021-06-01","Bhutan","BTN","64","Asia","142","Southern Asia","34","61171090","Shwl, Scrv, Muflr Etc Of Othr Fibres","Nos",0.06,0.14,0
"2025-10-01","Viet Nam","VNM","704","Asia","142","South-eastern Asia","35","38099110","Textile Assistants Mordanting Agents","Kgs",21000,0.17,0.02
"2024-11-01","Malaysia","MYS","458","Asia","142","South-eastern Asia","35","44141000","Of Tropical Wood","Kgs",8,0,0
"2016-06-01","Qatar","QAT","634","Asia","142","Western Asia","145","24022090","Other Cigarettes Contng Tobacco","Thd",49.9,361.23,0.54
"2018-12-01","Thailand","THA","764","Asia","142","South-eastern Asia","35","82031000","Files,Rasps And Smrl Tools","Kgs",0.01,0.06,""
"2021-02-01","Thailand","THA","764","Asia","142","South-eastern Asia","35","33049190","Other Powders Whether Or Not Compressed","Kgs",0.01,0.31,0
"2024-09-01","Myanmar","MMR","104","Asia","142","South-eastern Asia","35","85364900","Other Relays","Nos",11,0.01,0
"2021-06-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","58090090","Others","Kgs",4.03,148.65,0.2
"2021-10-01","Bhutan","BTN","64","Asia","142","Southern Asia","34","72139110","Other Bars And Rods Of Free Cuting Steel Electrode Quality","Kgs",50.11,26.24,0.04
"2020-02-01","China","CHN","156","Asia","142","Eastern Asia","30","95079090","Others(Fishing Tackle,Poles Etc)","Nos",1.85,0.88,0
"2017-12-01","Philippines","PHL","608","Asia","142","South-eastern Asia","35","29151100","Formic Acid","Kgs",0.02,0.03,""
"2017-05-01","Islamic Republic of Iran","IRN","364","Asia","142","Southern Asia","34","85365010","Control And Switch Gear","Nos",0.02,1.9,0
"2021-09-01","Nepal","NPL","524","Asia","142","Southern Asia","34","84211910","Bowl Centrifuges","Nos",0,3.4,0
"2019-12-01","Malaysia","MYS","458","Asia","142","South-eastern Asia","35","32041985","Food Colouring Oranges","Kgs",2,8.27,0.01
"2021-11-01","Maldives","MDV","462","Asia","142","Southern Asia","34","85364900","Other Relays","Nos",0.04,0.28,0
"2018-10-01","Lebanon","LBN","422","Asia","142","Western Asia","145","39206290","Pltes Shts Of Plyethyln Terephthalte Nes","Kgs",3.28,5.45,0.01
"2018-04-01","Nepal","NPL","524","Asia","142","Southern Asia","34","30049099","Other Medcne Put Up For Retail Sale N.E.S","Kgs",249.49,3030.61,4.62
"2017-02-01","Jordan","JOR","400","Asia","142","Western Asia","145","61042200","Ensembles Of Cotton","Nos",7.26,37.83,0.06
"2020-02-01","Hong Kong","HKG","344","Asia","142","Eastern Asia","30","11031120","Meal Of Wheat","Kgs",1.5,0.7,0
"2019-09-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","30042013","Ciprofloxacine- In Capsul,Tblts Form Etc","Kgs",0.01,0.27,0
"2019-01-01","Pakistan","PAK","586","Asia","142","Southern Asia","34","48211010","Paper Tag","Kgs",1.03,10.3,0.01
"2020-10-01","Sri Lanka","LKA","144","Asia","142","Southern Asia","34","84439990","Prts Of Othr Prntng Mchnry And Mchns Fr Uses Ancillary To Printing","Nos",0.17,15.65,0.02
"2019-06-01","Qatar","QAT","634","Asia","142","Western Asia","145","51121130","Dyed Wovn Fbrcs Contng>85% By Wt Of Wool/Fine Anml Hair Of A Wt Nt Excdng 200 G/M2","Sqm",0.02,0.18,0
"2025-03-01","Viet Nam","VNM","704","Asia","142","South-eastern Asia","35","82029990","Othr Saw Blades","Kgs",869,0.34,0.04
"2024-10-01","Viet Nam","VNM","704","Asia","142","South-eastern Asia","35","28181000","Artificial Corundum W/N Chemically Defined","Kgs",45,0.01,0
"2025-05-01","Kazakhstan","KAZ","398","Asia","142","Central Asia","143","39239090","Othr Artcls For Cnvynce/Pckng Of Goods Nes","Kgs",170,0,0
"2021-12-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","29321990","Other Cmpnds Cntng Unfused Furanring (W/N)In Structure","Kgs",0.12,10.22,0.01
"2021-10-01","Bhutan","BTN","64","Asia","142","Southern Asia","34","48189000","Othr Artcls Of Papr,Papr Plp,Clls Wdng Etc","Kgs",3.17,3.35,0
"2024-05-01","Singapore","SGP","702","Asia","142","South-eastern Asia","35","46021919","Palm Leaf Items Other Then Baskets","Kgs",820,0.02,0
"2016-06-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","54071099","Othr Polyester Fbrcs Nes","Sqm",3080.23,1465.03,2.18
"2016-09-01","Oman","OMN","512","Asia","142","Western Asia","145","25174100","Granules Chpping And Powdr Of Marble","Kgs",28,2.49,0
"2017-01-01","Georgia","GEO","268","Asia","142","Western Asia","145","68022110","Marble Blocks/Tiles,Polished","Kgs",7,2.86,0
"2017-03-01","Indonesia","IDN","360","Asia","142","South-eastern Asia","35","84136090","Others","Nos",0.03,12.55,0.02
"2015-02-01","Viet Nam","VNM","704","Asia","142","South-eastern Asia","35","32049000","Othr Synthetic Organic Colorng Matter","Kgs",10.25,32.12,0.05
