Date (date),Country Name (country_name),ISO Alpha 3 Code (alpha_3_code),Country Code (country_code),Region Name (region_name),Region Code (region_code),Sub-Region Name (subregion_name),Sub Region Code (subregion_code),Harmonized System Code (hs_code),Commodity Name (commodity),Quantity unit (unit),Commodity quantity (value_qt),Quantity value (INR) (value_rs),Quantity value (USD) (value_dl)
"2025-03-01","Bhutan","BTN","64","Asia","142","Southern Asia","34","87089400","Sterng Wheels,Sterng Columns And Sterng Boxs","Kgs",447,0.1,0.01
"2021-10-01","Thailand","THA","764","Asia","142","South-eastern Asia","35","29222190","Other Amnohydrxy Nphthlene Slphnc Acds And Thr Slts","Kgs",5.75,41.72,0.06
"2018-07-01","Thailand","THA","764","Asia","142","South-eastern Asia","35","32151940","Other Screen Printing Ink","Kgs",0.15,0.93,0
"2020-08-01","Nepal","NPL","524","Asia","142","Southern Asia","34","85432090","Others (E.G. Pattern Generator)","Nos",6.54,2.61,0
"2016-12-01","Saudi Arabia","SAU","682","Asia","142","Western Asia","145","96081019","Other Ball-Point Pens With Liquid Ink (For Rolling Ball Pen)","Nos",6033.21,233.86,0.34
"2021-07-01","Sri Lanka","LKA","144","Asia","142","Southern Asia","34","84818030","Industrial Valves(Excl Pressure-Reducing Valves,And Thrmstcly Contrlld Valves)","Kgs",11.96,126.48,0.17
"2017-11-01","Cambodia","KHM","116","Asia","142","South-eastern Asia","35","49011020","Pamphlets Booklets Brochures Leaflets","Nos",5.65,0.03,""
"2016-01-01","Bhutan","BTN","64","Asia","142","Southern Asia","34","19021900","Othr Uncookd Notstfd/Othrwse Prpd Psta","Kgs",79.58,104.23,0.15
"2016-10-01","Nepal","NPL","524","Asia","142","Southern Asia","34","30049072","Verapamil, Nifedipine, Amlodipine And Lacidipine","Kgs",2.51,9.92,0.01
"2019-10-01","China","CHN","156","Asia","142","Eastern Asia","30","32041211","Acid Yellows(Azo)","Kgs",6.85,27.49,0.04
"2016-08-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","85363000","Othr Apprts Fr Prtctng Elctrcl Circuits","Nos",2.23,13.91,0.02
"2020-01-01","Hong Kong","HKG","344","Asia","142","Eastern Asia","30","11029090","Other Flour Of Hdg. 1102","Kgs",6.05,3.48,0
"2019-12-01","Qatar","QAT","634","Asia","142","Western Asia","145","73239190","Other Utensils Of Cast Iron Nt Enameld","Kgs",0.08,0.77,0
"2017-10-01","Bahrain","BHR","48","Asia","142","Western Asia","145","68030000","Wrkd Slate And Artcls Of Slate/Aglmrtd Slate","Kgs",0.1,0.38,0
"2025-07-01","Saudi Arabia","SAU","682","Asia","142","Western Asia","145","84669390","Othr Prts Accssrs, Attchmnt Fr Mchn-Tool","Nos",326,0.83,0.1
"2019-04-01","China","CHN","156","Asia","142","Eastern Asia","30","29147990","Other","Kgs",10.1,118.66,0.17
"2017-09-01","Hong Kong","HKG","344","Asia","142","Eastern Asia","30","51123030","Dyed Wovn Fbrcs Mixed With Manmade Stapl Fibrs Of Comd Wool And Fine Anml Hair","Sqm",4.68,17.74,0.03
"2020-04-01","Singapore","SGP","702","Asia","142","South-eastern Asia","35","9109990","Other Spices, Nes","Kgs",8.34,25.38,0.03
"2015-03-01","Nepal","NPL","524","Asia","142","Southern Asia","34","30041020","Ampicilline In Capsules, Injections Etc.","Kgs",14.83,5.49,0.01
"2019-07-01","Oman","OMN","512","Asia","142","Western Asia","145","29121930","Glyoxal","Kgs",36.4,46.66,0.07
"2016-10-01","Malaysia","MYS","458","Asia","142","South-eastern Asia","35","32041193","Disperse Black","Kgs",0.83,2.09,0
"2021-09-01","Uzbekistan","UZB","860","Asia","142","Central Asia","143","84743120","Mortar Mixers","Nos",0,1.41,0
"2019-04-01","Nepal","NPL","524","Asia","142","Southern Asia","34","68129211","*Asbestos Millboard","Kgs",0.15,0.26,0
"2017-08-01","Thailand","THA","764","Asia","142","South-eastern Asia","35","19021900","Othr Uncookd Notstfd/Othrwse Prpd Psta","Kgs",0.6,0.39,0
"2016-04-01","Kyrgyzstan","KGZ","417","Asia","142","Central Asia","143","62044990","Othr Dresses Of Othr Txtl Materials Othr Than Silk","Nos",3.45,12.93,0.02
"2020-02-01","Iraq","IRQ","368","Asia","142","Western Asia","145","84829119","Other Balls","Kgs",0,0.25,0
"2018-07-01","Sri Lanka","LKA","144","Asia","142","Southern Asia","34","28332990","Other Sulphates, Nes","Kgs",5.21,16.31,0.02
"2024-06-01","China","CHN","156","Asia","142","Eastern Asia","30","73261910","Other Articles Forged Or Stamped For Automobiles And Earth Moving Equipments","Kgs",16155,0.32,0.04
"2024-11-01","Israel","ISR","376","Asia","142","Western Asia","145","33049930","Moisturising Lotion","Kgs",576,0.01,0
"2015-08-01","Malaysia","MYS","458","Asia","142","South-eastern Asia","35","29252990","Other Imines And Their Derivtvs, Salts Thereof","Kgs",17.2,43.47,0.07
"2015-08-01","Indonesia","IDN","360","Asia","142","South-eastern Asia","35","39231090","Box Case Crate And Smlr Artcls Of Plstcs Nes","Kgs",7.21,12.81,0.02
"2020-10-01","Nepal","NPL","524","Asia","142","Southern Asia","34","84251920","Pulley Tackle Not Pwrd By Elctrc Motr","Nos",1.74,4.31,0.01
"2020-07-01","Republic of Korea","KOR","410","Asia","142","Eastern Asia","30","83021090","Hinges 0F 0Ther Base Metal Incl Aluminium","Kgs",0.25,2.15,0
"2025-05-01","Cyprus","CYP","196","Asia","142","Western Asia","145","90183920","Cardiac Catheters","Nos",70,0.13,0.02
"2016-10-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","54082218","Rayon Saree ,Dyed","Sqm",0.02,0.06,""
"2015-05-01","Philippines","PHL","608","Asia","142","South-eastern Asia","35","84196000","Machinery For Liquefying Air/Othr Gases","Nos",0,11.95,0.02
"2018-02-01","Oman","OMN","512","Asia","142","Western Asia","145","84123900","Othr Pneumatic Power Engines And Motors","Nos",0,0.24,0
"2016-01-01","Bhutan","BTN","64","Asia","142","Southern Asia","34","25232910","Ordinary Portland Cement, Dry","Kgs",114.5,4.63,0.01
"2021-09-01","Bhutan","BTN","64","Asia","142","Southern Asia","34","84513090","0Ther Presses","Nos",0.01,0.53,0
"2021-10-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","84254900","Other Jacks And Hoists,For Raising Vehicles","Nos",0.06,9.14,0.01
"2020-02-01","Israel","ISR","376","Asia","142","Western Asia","145","62045300","Skirts And Divided Skirts Of Synthetic Fibrs","Nos",14.5,53.79,0.08
"2024-06-01","Bahrain","BHR","48","Asia","142","Western Asia","145","12119016","Garcinia","Kgs",30,0,0
"2016-04-01","Saudi Arabia","SAU","682","Asia","142","Western Asia","145","9011111","Coffee Arabica Plantation`A`","Kgs",110.4,271.18,0.41
"2021-11-01","Yemen","YEM","887","Asia","142","Western Asia","145","30042097","Polymyxin B And Colistin","Kgs",0.01,0.49,0
"2019-09-01","Indonesia","IDN","360","Asia","142","South-eastern Asia","35","7122000","Onions Dried","Kgs",50.31,72.78,0.1
"2025-02-01","Indonesia","IDN","360","Asia","142","South-eastern Asia","35","84149090","Others","Kgs",1180,0.22,0.02
"2025-06-01","Nepal","NPL","524","Asia","142","Southern Asia","34","35030030","Glues Drvd From Bones Hides Etc And Fishflus","Kgs",10,0,0
"2021-08-01","Nepal","NPL","524","Asia","142","Southern Asia","34","48219010","Labels","Kgs",1.07,14.37,0.02
"2024-07-01","Nepal","NPL","524","Asia","142","Southern Asia","34","90189024","Surgicl,Chisel,Gauges,Elevatrs,Raspators, Osteotome,Craniotome,Bone Cutters,Etc","Nos",5,0,0
"2018-08-01","Philippines","PHL","608","Asia","142","South-eastern Asia","35","33019014","Turmeric Oleoresins","Kgs",0.1,7.92,0.01
"2015-05-01","Singapore","SGP","702","Asia","142","South-eastern Asia","35","49011010","Printed Books","Nos",45.79,178.49,0.28
"2015-08-01","Kyrgyzstan","KGZ","417","Asia","142","Central Asia","143","62042300","Ensembles Of Synthetic Fibres","Nos",0.07,0.55,0
"2019-04-01","Sri Lanka","LKA","144","Asia","142","Southern Asia","34","52083190","Others","Sqm",1329.7,522.67,0.75
"2017-08-01","Japan","JPN","392","Asia","142","Eastern Asia","30","38151100","Supprtd Catalysts Wth Nickel/Nickel Cmpnds","Kgs",13.42,73.55,0.11
"2024-11-01","Kuwait","KWT","414","Asia","142","Western Asia","145","20059900","Other Veg And Mixtre Of Vegetbles","Kgs",60,0,0
"2021-03-01","Singapore","SGP","702","Asia","142","South-eastern Asia","35","72101290","Other Plates,Sheets,Strips","Kgs",72,49.64,0.07
"2021-11-01","Yemen","YEM","887","Asia","142","Western Asia","145","84238900","Other Weighing Machinery","Nos",0.9,8.25,0.01
"2020-07-01","Kuwait","KWT","414","Asia","142","Western Asia","145","49011010","Printed Books","Nos",9.57,20.73,0.03
"2024-07-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","64039990","Lthr Sandals With Othr Sole","Prs",85263,8.58,1.03
"2020-06-01","Nepal","NPL","524","Asia","142","Southern Asia","34","37079090","Othr Chmcl Prprns Fr Photgrphc Uses Nes","Kgs",1.11,1.3,0
"2018-06-01","Nepal","NPL","524","Asia","142","Southern Asia","34","73182300","Rivets,Non-Threaded","Kgs",1.37,2.99,0
"2016-05-01","Islamic Republic of Iran","IRN","364","Asia","142","Southern Asia","34","8045020","*Mangoes Fresh","Kgs",1,1.49,0
"2017-09-01","Singapore","SGP","702","Asia","142","South-eastern Asia","35","32021000","Synthetic Organic Tanning Substances","Kgs",188.09,119.6,0.19
"2025-04-01","Japan","JPN","392","Asia","142","Eastern Asia","30","85129000","Parts Of Elctrcl Lightng/Signalng Equip","Kgs",128,0.04,0.01
"2020-12-01","Malaysia","MYS","458","Asia","142","South-eastern Asia","35","68118100","Corrugated Sheets","Kgs",0.07,0.01,""
"2025-03-01","Japan","JPN","392","Asia","142","Eastern Asia","30","52054210","Grey","Kgs",2003,0.06,0.01
"2017-05-01","Pakistan","PAK","586","Asia","142","Southern Asia","34","38123910","Anti-Oxidants For Rubber","Kgs",9.6,36.84,0.06
"2019-06-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","90258030","Lactometer","Nos",6.5,0.76,0
"2019-09-01","Nepal","NPL","524","Asia","142","Southern Asia","34","28334000","Peroxosulphates (Persulphates)","Kgs",1.03,2.59,0
"2018-02-01","Thailand","THA","764","Asia","142","South-eastern Asia","35","38249917","*Surface Tension Reducing Agents","Kgs",6.75,12.91,0.02
"2019-12-01","Nepal","NPL","524","Asia","142","Southern Asia","34","12024290","Other","Kgs",239,120.51,0.17
"2024-07-01","Singapore","SGP","702","Asia","142","South-eastern Asia","35","61069090","Blouses Etc Of Other Fibres","Nos",232,0.02,0
"2021-05-01","Cambodia","KHM","116","Asia","142","South-eastern Asia","35","84834000","Gears And Gearng,Excl Toothd Wheels,Trnsmsn Elmnts Prsntd Seprtly;Ball Scrws;Gear Boxsand Speed Chngrs,Incl Torque C","Nos",0.04,1.11,0
"2016-02-01","Thailand","THA","764","Asia","142","South-eastern Asia","35","33029090","Other Mixtrs Of Odorifrs Substns N.E.S.","Kgs",5.97,70.45,0.1
"2018-07-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","39013000","Ethylene-Vinyl Acetate Copolymers","Kgs",2,5.96,0.01
"2019-12-01","Malaysia","MYS","458","Asia","142","South-eastern Asia","35","85361090","Others","Nos",2.29,37.17,0.05
